,id,f1_score,precision,recall,accuracy,cross_entropy,seed,circuit,learning_rate,loss_history,val_losses,val_f1s,avg_epoch_time_seconds,network_str,model_path,weight_path,epochs,n_qubits,features_per_qubit,scaler
0,0,0.9935794542536116,0.9983870967741936,0.9888178913738019,0.993431855500821,0.023789433762431145,1,Ranga2024Circuit,0.01,"[0.1194998185291249, 0.02889960845028614]","[0.03633466362953186, 0.02427237667143345]","[0.9920382165605095, 0.9928172386272945]",209.20097243785858,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Ranga2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Ranga2024Circuit_expID_0_dfID_0.pth,results/weights/bin/,2,4,4,MinMaxScaler
1,1,0.9903536977491961,0.9967637540453075,0.9840255591054313,0.9901477832512315,0.146723210811615,1,Ranga2024Circuit,0.001,"[0.465129475452398, 0.1997821974862171]","[0.28358474373817444, 0.14489339292049408]","[0.9904306220095693, 0.9935897435897436]",190.78076148033142,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Ranga2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Ranga2024Circuit_expID_0_dfID_1.pth,results/weights/bin/,2,4,4,MinMaxScaler
2,2,0.9935691318327974,1.0,0.987220447284345,0.993431855500821,0.028627773746848106,1,Senokosov2024Circuit,0.01,"[0.15520546564795568, 0.02918960083901]","[0.042100317776203156, 0.02745809778571129]","[0.9912490055688147, 0.9952]",159.07928013801575,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Senokosov2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Senokosov2024Circuit_expID_0_dfID_2.pth,results/weights/bin/,2,4,4,MinMaxScaler
3,3,0.9919871794871795,0.9951768488745981,0.9888178913738019,0.9917898193760263,0.20541326701641083,1,Senokosov2024Circuit,0.001,"[0.5929172167456463, 0.2740683712457356]","[0.38416343927383423, 0.20542927086353302]","[0.9849802371541502, 0.9880668257756563]",158.4505513906479,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Senokosov2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Senokosov2024Circuit_expID_0_dfID_3.pth,results/weights/bin/,2,4,4,MinMaxScaler
4,4,0.9935794542536116,0.9983870967741936,0.9888178913738019,0.993431855500821,0.027842359617352486,1,Anusha2024Circuit,0.01,"[0.13495928062260837, 0.032840807977328565]","[0.04125167429447174, 0.02655337192118168]","[0.9936204146730463, 0.9944044764188649]",62.548606872558594,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Anusha2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Anusha2024Circuit_expID_0_dfID_4.pth,results/weights/bin/,2,4,4,MinMaxScaler
5,5,0.9863013698630136,0.9951219512195122,0.9776357827476039,0.9860426929392446,0.1602211594581604,1,Anusha2024Circuit,0.001,"[0.4617783295872964, 0.21262725104430788]","[0.29899412393569946, 0.16107697784900665]","[0.9808917197452229, 0.9863234111021721]",62.5510550737381,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Anusha2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Anusha2024Circuit_expID_0_dfID_5.pth,results/weights/bin/,2,4,4,MinMaxScaler
6,6,0.9935691318327974,1.0,0.987220447284345,0.993431855500821,0.02622702158987522,1,DoubleEntanglementVLCircuit,0.01,"[0.13656754835545526, 0.025299856454933576]","[0.033448461443185806, 0.024988507851958275]","[0.9928286852589642, 0.9952]",92.73535251617432,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): DoubleEntanglementVLCircuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/DoubleEntanglementVLCircuit_expID_0_dfID_6.pth,results/weights/bin/,2,4,4,MinMaxScaler
7,7,0.9879518072289156,0.9935379644588045,0.9824281150159745,0.9876847290640394,0.14982850849628448,1,DoubleEntanglementVLCircuit,0.001,"[0.599162654559079, 0.24387955033269368]","[0.3996308743953705, 0.15030920505523682]","[0.9833465503568596, 0.988009592326139]",92.72633492946625,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): DoubleEntanglementVLCircuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/DoubleEntanglementVLCircuit_expID_0_dfID_7.pth,results/weights/bin/,2,4,4,MinMaxScaler
8,8,0.9927710843373494,0.9983844911147012,0.987220447284345,0.9926108374384236,0.028409641236066818,2,Ranga2024Circuit,0.01,"[0.11087902408632401, 0.028543870192247835]","[0.02810836024582386, 0.029169609770178795]","[0.9944044764188649, 0.9943865276663993]",193.22077465057373,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Ranga2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Ranga2024Circuit_expID_0_dfID_8.pth,results/weights/bin/,2,4,4,MinMaxScaler
9,9,0.9911504424778761,0.9983792544570502,0.9840255591054313,0.9909688013136289,0.09477346390485764,2,Ranga2024Circuit,0.001,"[0.42881735110361324, 0.14304654702152075]","[0.22343288362026215, 0.09371477365493774]","[0.9911788291900562, 0.9943955164131305]",192.68917202949524,"BinQuantumNeuralNetwork(
  (quantum_circuit_nn): Ranga2024Circuit()
  (pre_processing): Linear(in_features=16, out_features=16, bias=True)
  (post_processing): Linear(in_features=1, out_features=1, bias=True)
)",results/models/bin/Ranga2024Circuit_expID_0_dfID_9.pth,results/weights/bin/,2,4,4,MinMaxScaler
